제조사,비행기모델,ICAO CODE,IATA CODE,비행기구분,비행기크기,CLASS,엔진타입,엔진수,최초운항일,생산수량,단가,상태,조종석수,승객수,길이(m),높이(m),운송범위(km)
BRITISH AEROSPACE,British Aerospace Jetstream 31,JS31,J31,LandPlane,LOW/MEDIUM,Regional airliner,Turboprop/Turboshaft,2,1980-03-28,,,Production completed 1993),2,19,14.4,5.3,1260
LEARJET,Learjet 35 / 36 / C-21A,LJ35,LRJ,LandPlane,MEDIUM,Business jet,Jet,2,1973-08-22,738,,Production completed 1994),2,,14.8,3.7,5291
BRITISH AEROSPACE,British Aerospace Jetstream 41,JS41,J41,LandPlane,MEDIUM,Regional airliner/Feederliner,Turboprop/Turboshaft,2,1991-09-25,100,6,Production completed 1997),3,29,19.3,5.7,1433
BAC,One-Eleven,BA11,B11,LandPlane,MEDIUM,Short-rangejetlinerandbusiness jet,Jet,2,1963-08-20,244,5.2,retired,2,89,28.5,7.5,1340
SHORT,SC-5 Belfast ,BELF,SHB,LandPlane,MEDIUM,Heavy airfreighter,Turboprop/Turboshaft,4,1964-01-05,10,,retired,5,150,41.6,14.3,1610
Grumman,Grumman G-73T Turbo Mallard,G73T,GRM,Amphibian,LOW,Amphibious airliner,Turboprop/Turboshaft,2,1964-04-30,59,4,retired,2,17,14.7,5.7,2070
DE HAVILLAND,DH-114 Heron,HERN,DHH,LandPlane,LOW,Airliner,Piston,4,1950-05-10,149,,retired,2,14,14.8,4.8,1473
LOCKHEED,Lockheed L-188 Electra,L188,LOE,LandPlane,MEDIUM,Turboprop airliner,Turboprop/Turboshaft,4,1957-12-06,170,,retired,3,98,31.9,10,3500
McDonnell Douglas,McDonnell Douglas MD-90,MD90,M90,LandPlane,MEDIUM,Narrow-body jet airliner,Jet,2,1993-02-22,116,48.5,retired,2,172,46.5,12,3787
TUPOLEV,Tupolev Tu-144,T144,,LandPlane,HIGH,Supersonic airliner,Jet,4,1968-12-31,16,,retired,3,140,65.7,12.6,6500
BELL,212,B212,BH2,Helicopter,LOW,Medium utility helicopter,Turboprop/Turboshaft,2,1968-01-01,,,Production completed 1998),1,14,17.4,3.8,273
AIRBUS,A-300-600,A306,AB6,LandPlane,HIGH,Wide-body jet airliner,Jet,2,1972-10-28,561,17.5,Production completed 2007),2,247,53.6,16.7,7500
Hawker Siddeley,HS-748,A748,HS7,LandPlane,MEDIUM,Airliner,Turboprop/Turboshaft,2,1960-06-24,380,1.6,Production completed 1988),2,58,20.4,2.3,1715
ANTONOV,An-124 Ruslan,A124,A4F,LandPlane,HIGH,Heavy transport aircraft,Jet,4,1982-12-24,55,100,서비스중,6,88,69.1,21.1,14000
ANTONOV,An-140,A140,A40,LandPlane,MEDIUM,Turboprop Regional airliner,Turboprop/Turboshaft,2,1997-12-17,35,9,서비스중,2,52,22.6,8.2,900
ANTONOV,An-148,A148,A81,LandPlane,MEDIUM,Regional jet airliner,Jet,2,2004-12-17,47,20,서비스중,2,85,29.1,8.2,2100
ANTONOV,An-158,A158,A58,LandPlane,MEDIUM,Regional jet airliner,Jet,2,2010-04-28,,30,서비스중,2,99,30.8,8.2,2500
